Planet Name,Stellar Magnitude,Discovery Date,Planet Type,Discovery Method,Orbital Radius,Eccentricity,Planet Mass (Jupiter),Planet Radius (Jupiter),Distance (light-years),Orbital Period (Years)
HD 21520 b,9.17,2024,Neptune-like,Transit,0.1726,0.0,0.05569540591567023,0.241,258.34164447999996,0.06872005475701574
TOI-3568 b,12.879,2024,Neptune-like,Transit,0.0485,0.04,0.0830711139081183,0.483,645.48229336,0.012046543463381246
TOI-2384 b,15.103,2024,Gas Giant,Transit,0.02793,0.0,1.966,1.025,624.6213555999999,0.005749486652977413
TOI-2379,15.548,2024,Gas Giant,Transit,0.05263,0.34,5.76,1.046,688.99476532,0.015058179329226557
TOI-6034 b,15.189,2024,Gas Giant,Transit,0.02949,0.04,0.798,1.063,384.83798752,0.007118412046543464
TIC 4672985 b,11.501,2024,Gas Giant,Transit,0.33,0.02,12.74,1.026,826.4303805999999,0.188911704312115
OGLE-2017-BLG-0448L b,12.60683284365942,2024,Neptune-like,Microlensing,5.75,0.07689300021083703,0.049087476400251726,0.364,24559.5468,19.5
TOI-5218 b,16.044,2024,Gas Giant,Transit,0.0469,0.0,2.06715,0.879,1231.18345348,0.011772758384668035
TOI-2529 b,11.529,2024,Gas Giant,Transit,0.327,0.02,2.34,1.03,966.30564276,0.17686516084873372
TOI-286 c,9.866,2024,Super Earth,Transit,0.213,0.0,0.01170547514159849,0.16785714285714287,193.17991570799998,0.10787132101300478
TOI-286 b,9.866,2024,Super Earth,Transit,0.0503,0.0,0.014254247954688484,0.12678571428571428,193.17991570799998,0.012320328542094456
TOI-5616 b,16.74,2024,Gas Giant,Transit,0.0272,0.0,1.96332,0.961,1273.3619474,0.0054757015742642025
K2-419 A b,16.52,2024,Gas Giant,Transit,0.1208,0.04,0.617,0.941,876.3322486,0.05585215605749486
TOI-5634 A b,16.854,2024,Gas Giant,Transit,0.0272,0.0,1.85005,0.923,998.5070246399999,0.006023271731690623
TOI-6255 b,12.747,2024,Super Earth,Transit,15.25358028598593,0.0,0.004531151667715544,0.09633928571428571,66.264136052,0.0005475701574264203
HD 118203 c,8.05,2024,Gas Giant,Radial Velocity,6.2,0.26,11.1,1.11,300.907937884,13.9
TOI-4379 b,12.661,2024,Gas Giant,Transit,15.25358028598593,0.02,1.113,1.489,2104.2215264799997,0.009034907597535934
TOI-6029 b,12.858,2024,Gas Giant,Transit,15.25358028598593,0.09,1.635,1.284,1967.10880564,0.01587953456536619
GJ 238 b,11.62,2024,Terrestrial,Transit,0.02123,0.07689300021083703,0.00039647577092511013,0.05053571428571428,49.622026152,0.004654346338124572
TOI-1408 c,9.270001,2024,Super Earth,Transit Timing Variations,0.03587,0.14,0.023914411579609815,0.19821428571428573,454.93543504,0.006023271731690623
Gaia22dkvL b,12.60683284365942,2024,Gas Giant,Microlensing,1.4,0.07689300021083703,0.591,1.26,4142.1812,1.5
TOI-1798.02,11.361,2024,Super Earth,Transit,0.0107,0.0,0.017621145374449337,0.12491071428571429,369.14662236,0.0010951403148528405
HD 77946 b,8.99,2024,Neptune-like,Transit,0.073,0.21,0.03429830081812461,0.258,324.36540355999995,0.01779603011635866
HD 6061 b,8.844,2023,Super Earth,Transit,0.06,0.0,0.03146633102580239,0.2167857142857143,220.54766566799998,0.014510609171800136
HD 135694 b,9.08,2023,Neptune-like,Transit,0.12,0.0,0.019194461925739457,0.226,240.935677228,0.04353182751540041
TOI-757 b,9.743,2024,Super Earth,Transit,0.122,0.39,0.03303964757709251,0.22321428571428573,196.808401208,0.04791238877481177
HD 25463 c,6.91134,2023,Super Earth,Transit,0.0443,0.0,0.013530522341095027,0.1217857142857143,148.78617023599998,0.008213552361396304
HD 25463 b,6.91134,2023,Neptune-like,Transit,0.076,0.0,0.027375707992448078,0.227,148.78617023599998,0.019164955509924708
HIP 8152 c,10.07,2023,Super Earth,Transit,0.139,0.2,0.03366897419760856,0.22535714285714287,331.68108264,0.05366187542778919
HIP 8152 b,10.07,2023,Neptune-like,Transit,0.093,0.0,0.02800503461296413,0.226,331.68108264,0.029568788501026694
WASP-156 b,11.559,2017,Gas Giant,Transit,0.0458,0.0,0.13152,0.538,398.12558296,0.010403832991101985
TOI-1410 c,11.111,2024,Neptune-like,Radial Velocity,0.239,0.0,0.08495909376966645,0.502,237.28240387199997,0.13032169746748803
TOI-1294 c,11.314,2024,Gas Giant,Radial Velocity,0.61,0.0,0.46251,1.27,1084.95141088,0.437782340862423
TIC 46432937 b,14.268,2024,Gas Giant,Transit,0.02065,0.009,3.2,1.188,295.29153156399997,0.0038329911019849418
TIC 241249530 b,11.908,2024,Gas Giant,Transit,0.641,0.94,4.98,1.186,1058.20661888,0.4539356605065024
TOI-3261 b,13.261,2024,Neptune-like,Transit,0.01714,0.0,0.09534298300818124,0.341,978.92787996,0.0024640657084188913
TOI-2128 b,7.22142,2024,Neptune-like,Transit,0.127,0.0,0.014159848961611076,0.18651785714285715,119.30134168000001,0.04462696783025325
TOI-2088 b,11.638,2024,Neptune-like,Transit,0.472,0.0,0.11642542479546884,0.329,412.4568775999999,0.341409993155373
TOI-1836 c,9.765,2024,Neptune-like,Transit,0.03089,0.0,0.02517306482064191,0.232,625.07471244,0.004928131416837783
TOI-1836 b,9.765,2024,Neptune-like,Transit,0.157,0.0,0.0777218376337319,0.739,625.07471244,0.05585215605749486
TOI-1824 b,9.721,2024,Super Earth,Transit,0.151,0.0,0.05034612964128382,0.24500000000000002,193.83907698399997,0.062422997946611915
TOI-1799 b,8.98,2024,Super Earth,Transit,0.071,0.0,0.012586532410320955,0.12696428571428572,202.632242744,0.01943874058863792
TOI-1794 b,10.32,2024,Neptune-like,Transit,0.082,0.0,0.027375707992448078,0.294,508.12169395999996,0.024093086926762493
TOI-1776 b,8.26,2024,Super Earth,Transit,0.0378,0.0,0.004405286343612334,0.10857142857142857,145.61886932,0.0076659822039698835
TOI-1775 b,11.648,2024,Gas Giant,Transit,0.08,0.0,0.30205,0.718,486.73564504,0.02792607802874743
TOI-1758 b,10.794,2024,Neptune-like,Transit,0.138,0.0,0.02171176840780365,0.317,315.13681954,0.056673511293634495
TOI-1753 b,11.831,2024,Super Earth,Transit,0.059,0.0,0.05223410950283197,0.22133928571428574,739.3010667599999,0.014784394250513347
TOI-1723 b,9.664,2024,Neptune-like,Transit,0.114,0.0,0.032724984266834484,0.294,328.52715412,0.037508555783709784
TOI-1691 b,10.134,2024,Neptune-like,Transit,0.126,0.0,0.04594084329767149,0.318,363.48455419999993,0.04572210814510609
TOI-1669 c,10.218,2024,Super Earth,Transit,0.0376,0.0,0.040906230333543105,0.205,362.93335055999995,0.007392197125256674
TOI-1472 b,11.302,2024,Neptune-like,Transit,0.065,0.0,0.051919446192573944,0.371,397.38847039999996,0.017522245037645448
TOI-1451 b,9.584,2024,Super Earth,Transit,0.127,0.0,0.04782882315921963,0.23312500000000003,299.85543247199996,0.045174537987679675
TOI-1443 b,10.675,2024,Super Earth,Transit,0.147,0.0,0.09439899307740716,0.2057142857142857,279.85293730399997,0.06433949349760439
TOI-1437 b,9.173,2024,Super Earth,Transit,0.14,0.17,0.030207677784770293,0.20000000000000004,336.90936331999995,0.051471594798083505
TOI-1294 b,11.314,2024,Gas Giant,Transit,0.051,0.0,0.20105,0.903,1084.95141088,0.010677618069815195
TOI-1279 b,10.714,2024,Super Earth,Transit,0.085,0.0,0.03335431088735053,0.23758928571428573,349.1663058,0.026283367556468172
TOI-1269 b,11.618,2024,Neptune-like,Transit,0.0496,0.0,0.020138451856513532,0.214,561.43841528,0.011772758384668035
TOI-1249 b,11.089,2024,Neptune-like,Transit,0.109,0.0,0.037444933920704845,0.292,454.9550044,0.03586584531143053
TOI-1248 b,11.806,2024,Neptune-like,Transit,0.051,0.0,0.08621774701069855,0.607,550.3393266,0.012046543463381246
TOI-1244 b,11.929,2024,Neptune-like,Transit,0.061,0.0,0.020767778477029576,0.212,334.47623956,0.017522245037645448
TOI-1184 b,10.988,2024,Neptune-like,Transit,0.056,0.0,0.021397105097545624,0.215,191.109803576,0.015605749486652979
TOI-1180 b,11.017,2024,Neptune-like,Transit,0.082,0.0,0.03146633102580239,0.271,234.90994512799998,0.02655715263518138
TOI-1174 b,10.964,2024,Neptune-like,Transit,0.08,0.0,0.10069225928256764,0.224,308.6658845,0.024640657084188913
TOI-1173 b,11.038,2024,Neptune-like,Transit,0.0696,0.02,0.08621774701069855,0.82,431.67725068,0.01943874058863792
TOI-762 A b,16.0,2024,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.251,0.5114834271703597,321.086883448,1.7022587894645302
TOI-480 b,7.28,2024,Neptune-like,Transit,0.077,0.0,0.06544996853366897,0.255,177.854823736,0.0188911704312115
TOI-260 b,9.9,2024,Super Earth,Transit,0.0943,0.0,0.013310258023914412,0.15267857142857144,65.83524091199999,0.03696098562628337
TOI-5301 b,11.738,2024,Gas Giant,Transit,0.073,0.33,3.72,1.168,2052.0463511599996,0.0161533196440794
TOI-5232 b,12.246,2024,Gas Giant,Transit,0.05593,0.04,2.34,1.14,1987.55552528,0.011225188227241615
TOI-4153 b,11.601,2024,Gas Giant,Transit,0.06311,0.04,1.15,1.438,1382.3795903999999,0.012594113620807664
TOI-3919 b,12.858,2024,Gas Giant,Transit,0.0795,0.26,3.88,1.099,1971.9098219599998,0.02026009582477755
TOI-3894 b,11.992,2024,Gas Giant,Transit,0.05354,0.05,0.82,1.363,1361.2609894,0.011772758384668035
TOI-3321 b,11.076,2024,Gas Giant,Transit,0.047,0.05,0.554,1.388,932.4636961999998,0.010130047912388775
TOI-2368 b,12.486,2024,Gas Giant,Transit,0.05649,0.06,0.65,0.967,687.9119274,0.014236824093086927
TOI-2107 b,12.0363,2024,Gas Giant,Transit,0.03515,0.03,0.83,1.211,772.0275598,0.006844626967830253
TOI-2019 b,10.263,2024,Neptune-like,Transit,0.128,0.0,0.10824417872876022,0.476,645.81171092,0.04188911704312115
TOI-1898 b,7.87,2024,Gas Giant,Transit,0.269,0.48,0.40588,0.838,259.842614392,0.12457221081451061
TOI-1855 b,11.197,2024,Gas Giant,Transit,0.02398,0.03,1.133,1.65,576.7514394799999,0.0038329911019849418
TOI-1823 b,10.728,2024,Gas Giant,Transit,0.212,0.0,0.21206,0.673,233.67642313599998,0.10622861054072552
TOI-1742 b,8.863,2024,Super Earth,Transit,0.154,0.3,0.030522341095028317,0.2111607142857143,237.725649876,0.05831622176591376
TOI-1439 b,10.55,2024,Gas Giant,Transit,0.192,0.16,0.1211453744493392,0.379,751.1568373599999,0.075564681724846
TOI-329 b,11.262,2024,Gas Giant,Transit,0.0638,0.39,0.12711,0.441,927.5485252799999,0.015605749486652979
TOI-1798.01,11.361,2024,Neptune-like,Transit,0.074,0.0,0.020453115166771552,0.213,369.14662236,0.02190280629705681
HD 48948 d,8.58,2024,Neptune-like,Radial Velocity,0.4894,0.06,0.033322844556324734,0.289,55.134388707999996,0.4158795345653662
HD 48948 c,8.58,2024,Neptune-like,Radial Velocity,0.1951,0.55,0.022876022655758336,0.232,55.134388707999996,0.10431211498973306
HD 48948 b,8.58,2024,Super Earth,Radial Velocity,0.0652,0.06,0.015355569540591566,0.18392857142857144,55.134388707999996,0.01998631074606434
OGLE-2014-BLG-0221L b,12.60683284365942,2024,Neptune-like,Transit,15.25358028598593,0.07689300021083703,4.35,0.5114834271703597,12002.540799999999,1.7022587894645302
TOI-1224 c,13.95,2024,Neptune-like,Transit,15.25358028598593,0.0,0.027281308999370674,0.257,121.757948672,0.04900752908966461
TOI-1224 b,13.95,2024,Neptune-like,Transit,0.0355,0.07689300021083703,0.015984896161107615,0.1878571428571429,121.757948672,0.011498973305954827
TOI-669 b,10.606,2023,Super Earth,Transit,0.048,0.0,0.03146633102580239,0.23089285714285715,465.96929251999995,0.010677618069815195
HD 42813 b,9.49,2023,Neptune-like,Transit,0.11,0.0,0.018565135305223412,0.306,222.41229951999998,0.037234770704996575
TOI-663 d,13.667,2024,Super Earth,Transit,0.0576,0.07689300021083703,0.016362492133417242,0.17142857142857143,209.492608048,0.01943874058863792
TOI-663 c,13.667,2024,Neptune-like,Transit,0.0437,0.07689300021083703,0.011485210824417872,0.202,209.492608048,0.012867898699520876
TOI-663 b,13.667,2024,Neptune-like,Transit,0.0295,0.07689300021083703,0.014002517306482064,0.203,209.492608048,0.007118412046543464
KMT-2023-BLG-1431L b,12.60683284365942,2024,Neptune-like,Microlensing,3.2,0.07689300021083703,0.04279421019509125,0.335,22178.608,7.6
TIC 365102760 b,12.154,2024,Super Earth,Transit,0.0622,0.406,0.060415355569540585,0.5544642857142857,1811.94661176,0.011498973305954827
BD-14 3065 b,11.1,2024,Gas Giant,Transit,0.0656,0.07,12.37,1.926,1922.43847988,0.011772758384668035
TOI-3071 b,12.383,2024,Gas Giant,Transit,0.0249,0.09,0.21458,0.639,1582.57088164,0.003559206023271732
TOI-2374 b,12.095,2024,Gas Giant,Transit,0.0471,0.13,0.17821,0.608,439.18536179999995,0.011772758384668035
TOI-5076 b,10.9,2024,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.05034612964128382,0.285,270.24307691999996,0.06406570841889117
KMT-2023-BLG-0735L b,12.60683284365942,2024,Gas Giant,Microlensing,2.96,0.07689300021083703,0.12201091881686595,0.622,20841.3684,6.5
KMT-2023-BLG-0469L b,12.60683284365942,2024,Gas Giant,Microlensing,2.31,0.07689300021083703,0.12401107614852107,0.628,23059.229199999998,5.1
MOA-2022-BLG-563L b,12.60683284365942,2024,Gas Giant,Microlensing,2.15,0.07689300021083703,0.4,1.25,21297.9868,4.6
NGTS-26 b,15.009,2024,Gas Giant,Transit,0.049,0.0,0.292,1.328,3567.1355564,0.012320328542094456
NGTS-27 b,13.523,2024,Gas Giant,Transit,0.0446,0.0,0.593,1.396,3072.7874303199997,0.009308692676249144
TOI-2120 b,15.648,2024,Super Earth,Transit,0.0377,0.32,0.021397105097545624,0.18946428571428572,104.94232378,0.01587953456536619
TOI-1448 b,15.678,2024,Super Earth,Transit,0.0567,0.36,0.06135934550031466,0.2454464285714286,239.18487182,0.022176591375770018
TOI-782 b,14.83,2024,Super Earth,Transit,0.0578,0.19,0.06010069225928257,0.24410714285714288,171.27169103199998,0.02190280629705681
TOI-4527.01,10.917,2024,Terrestrial,Transit,0.008332,0.07689300021083703,0.0021680302076777847,0.0811607142857143,59.046303771999995,0.0010951403148528405
TOI-5388.01,12.728,2024,Super Earth,Transit,0.024336,0.07689300021083703,0.013373190685966017,0.16910714285714287,60.412571256,0.007118412046543464
TOI-5082.01,8.25,2024,Neptune-like,Transit,0.051205,0.07689300021083703,0.022120830711139083,0.227,140.70565533599998,0.011498973305954827
TOI-4602.01,8.32,2024,Neptune-like,Transit,0.050997,0.07689300021083703,0.022152297042164884,0.227,205.68604137199998,0.010951403148528405
TOI-4495.01,9.531,2024,Neptune-like,Transit,0.061733,0.07689300021083703,0.040276903713027064,0.324,431.22389383999996,0.014236824093086927
TOI-4443.01,8.493,2024,Super Earth,Transit,0.029963,0.07689300021083703,0.011327879169288861,0.15348214285714287,182.888389284,0.004928131416837783
TOI-3353.01,9.327,2024,Neptune-like,Transit,0.060118,0.07689300021083703,0.023882945248584014,0.238,256.872964012,0.012867898699520876
TOI-1806.01,15.193,2024,Neptune-like,Transit,0.087735,0.07689300021083703,0.03618628067967275,0.304,181.08539891599997,0.041341546885694726
TOI-1683.01,10.97,2024,Neptune-like,Transit,0.036508,0.07689300021083703,0.02344241661422278,0.235,166.954037904,0.008487337440109514
TOI-1410.01,11.111,2024,Neptune-like,Transit,0.0207,0.0,0.03933291378225299,0.277,237.28240387199997,0.0032854209445585215
TOI-907.01,10.394,2024,Gas Giant,Transit,0.055225,0.07689300021083703,0.211,0.857,1019.33208524,0.012594113620807664
TOI-880.02,10.104,2024,Neptune-like,Transit,0.034191,0.07689300021083703,0.025613593455003147,0.248,197.871995924,0.007118412046543464
TOI-261.01,9.56,2024,Neptune-like,Transit,0.034792,0.07689300021083703,0.029924480805538074,0.271,373.4323122,0.009308692676249144
TOI-128.01,8.44,2024,Neptune-like,Transit,0.05381,0.07689300021083703,0.01749528005034613,0.198125,223.327819412,0.013415468856947298
TOI-654.01,14.54,2024,Neptune-like,Transit,0.02102,0.07689300021083703,0.019572057898049087,0.211,188.37237626799998,0.004106776180698152
TOI-406.01,13.773,2024,Super Earth,Transit,0.085518,0.07689300021083703,0.014159848961611076,0.17500000000000002,101.30307513199999,0.036139630390143736
OGLE-2023-BLG-0836L b,12.60683284365942,2024,Gas Giant,Microlensing,3.7,0.07689300021083703,4.36,1.15,16699.1872,8.5
TOI-1450 A c,12.28,2024,Super Earth,Transit,15.25358028598593,0.07689300021083703,0.004804908747640025,0.10089285714285715,73.211258852,0.013963039014373716
TIC 393818343 b,9.48,2024,Gas Giant,Transit,0.1291,0.61,4.34,1.087,305.72069581999995,0.044353182751540036
TOI-2447 b,10.507,2024,Gas Giant,Transit,0.347,0.17,0.393,0.857,485.93003971999997,0.18973305954825462
TOI-1450 A b,12.28,2024,Super Earth,Transit,15.25358028598593,0.07689300021083703,0.00395846444304594,0.10089285714285715,73.211258852,0.0054757015742642025
HD 73344 b,6.89351,2024,Neptune-like,Transit,0.131,0.03,0.03297671491504091,0.257,115.00260559999998,0.04271047227926078
TOI-2015 b,16.11,2023,Neptune-like,Transit,0.0301,0.0,0.05160478288231592,0.302,154.41660126399998,0.009034907597535934
TOI-6086 b,14.981,2024,Super Earth,Transit,0.01541,0.07689300021083703,0.005538074260541221,0.10535714285714286,102.597588296,0.0038329911019849418
TOI-6008 b,15.97,2024,Super Earth,Transit,0.010777,0.07689300021083703,0.012586532410320955,0.09196428571428572,75.34464524799999,0.0024640657084188913
TOI-5720 b,13.847,2024,Super Earth,Transit,0.018288,0.07689300021083703,0.013530522341095027,0.09732142857142859,116.847343936,0.0038329911019849418
Gliese 12 b,12.6,2024,Super Earth,Transit,0.0668,0.5,0.012177470106985526,0.08553571428571428,39.8236476,0.035044490075290896
SPECULOOS-3 b,17.8,2024,Terrestrial,Transit,0.00733,0.07689300021083703,0.0028130899937067336,0.08723214285714286,22152.63399942856,0.0019164955509924709
TOI-4633 c,9.017,2024,Gas Giant,Transit,0.847,0.12,0.387,0.285,310.50573049599996,0.7444216290212183
TOI-815 c,10.217,2024,Neptune-like,Transit,0.193,0.22,0.07394587791063562,0.234,194.753292252,0.09582477754962354
TOI-815 b,10.217,2024,Neptune-like,Transit,0.0903,0.2,0.023914411579609815,0.262,194.753292252,0.030663928815879534
TOI-4559 b,13.115,2024,Super Earth,Transit,0.0359,0.07689300021083703,0.008149779735682818,0.12633928571428574,103.180755224,0.010951403148528405
TOI-1739 b,10.692,2024,Super Earth,Transit,0.0742,0.07689300021083703,0.011076148521082442,0.15133928571428573,231.51172576399998,0.02272416153319644
Kepler-1660 AB b,13.595,2023,Gas Giant,Eclipse Timing Variations,0.8,0.06,4.992,1.15,3876.4945224,0.6557152635181382
TIC 139270665 c,10.385,2024,Gas Giant,Radial Velocity,2.0,0.57,4.89,1.15,619.2887049999999,2.8
TIC 139270665 b,10.385,2024,Gas Giant,Transit,0.163,0.1,0.463,0.645,619.2887049999999,0.0646132785763176
2MASS J21252752-8138278 b,11.804,2024,Neptune-like,Transit,15.25358028598593,0.07689300021083703,12.0,0.5114834271703597,111.269424024,1.7022587894645302
TOI-4336 A b,13.6,2024,Neptune-like,Transit,0.0872,0.07689300021083703,0.016173694147262427,0.1892857142857143,73.53350098,0.04462696783025325
TOI-871 b,10.569,2024,Super Earth,Transit,0.1054,0.07689300021083703,0.010730018879798615,0.14857142857142858,221.94035178800002,0.03942505133470226
KMT-2023-BLG-1642L b,12.60683284365942,2024,Gas Giant,Microlensing,1.41,0.07689300021083703,1.08,1.23,22765.6888,4.1
KMT-2023-BLG-1454L b,12.60683284365942,2024,Gas Giant,Microlensing,1.18,0.07689300021083703,0.63,1.26,23548.4632,3.1
KMT-2023-BLG-0416L b,12.60683284365942,2024,Neptune-like,Microlensing,2.96,0.07689300021083703,0.04100365009439899,0.327,19243.203999999998,6.4
HIP 39017 b,6.96076,2024,Gas Giant,Imaging,22.1,0.55,23.6,1.07,216.312203852,84.9
TOI-1467 b,12.293,2024,Super Earth,Transit,0.0495,0.0,0.028319697923222153,0.14964285714285713,122.118677208,0.01642710472279261
TOI-771 b,14.888,2024,Super Earth,Transit,0.0207,0.07689300021083703,0.008212712397734424,0.12696428571428572,82.448322928,0.006297056810403832
NGTS-30 b,12.537,2024,Gas Giant,Transit,0.408,0.29,0.96,0.928,777.48088812,0.26913073237508556
KOI-2513.01,14.913,2023,Gas Giant,Transit,0.5,0.36,23.0,0.25,4467.9131972,0.05201916495550993
TOI-2068 b,13.007,2024,Super Earth,Transit,0.0632,0.07689300021083703,0.01249213341724355,0.16258928571428571,172.643503168,0.02135523613963039
TOI-5799 b,13.29,2024,Super Earth,Transit,0.0352,0.07689300021083703,0.010289490245437382,0.14508928571428573,90.711485188,0.011498973305954827
KMT-2021-BLG-1150L b,12.60683284365942,2023,Gas Giant,Microlensing,4.5,0.07689300021083703,0.88,1.24,12393.928,11.2
OGLE-2017-BLG-0640L b,12.60683284365942,2024,Gas Giant,Microlensing,1.14,0.07689300021083703,1.62,1.21,21624.142799999998,2.2
OGLE-2017-BLG-1275L b,12.60683284365942,2024,Gas Giant,Microlensing,2.09,0.07689300021083703,5.9,1.14,25081.396399999998,3.8
OGLE-2017-BLG-1237L b,12.60683284365942,2024,Gas Giant,Microlensing,2.53,0.07689300021083703,3.8,1.16,19667.2068,5.9
HD 104067 c,7.92,2024,Neptune-like,Radial Velocity,0.1058,0.29,0.04153555695405915,0.33,66.41579859199999,0.03805612594113621
M62H b,12.60683284365942,2024,Gas Giant,Pulsar Timing,15.25358028598593,0.07689300021083703,2.47,0.5114834271703597,2282.9993361540714,0.0002737850787132101
Luhman 16 b,12.60683284365942,2017,Neptune-like,Transit,15.25358028598593,0.07689300021083703,29.4,0.5114834271703597,2282.9993361540714,1.7022587894645302
TOI-4438 b,13.69,2024,Neptune-like,Transit,0.0534,0.14,0.016991818753933293,0.225,97.959649976,0.02026009582477755
OGLE-2016-BLG-1093L b,12.60683284365942,2022,Gas Giant,Microlensing,2.13,0.07689300021083703,0.71,1.25,26483.867199999997,4.6
NGC 2682 Sand 1429 b,12.704,2024,Gas Giant,Radial Velocity,0.384,0.0,1.8,1.2,2781.43553708,0.21218343600273784
CI Tauri c,13.642,2024,Gas Giant,Radial Velocity,0.17,0.58,3.6,1.16,515.31995688,0.06899383983572895
HS Piscium b,10.769,2024,Gas Giant,Radial Velocity,0.0435,0.27,1.46,1.21,122.831654224,0.010951403148528405
TOI-1994 b,10.514,2024,Gas Giant,Transit,0.0613,0.34,22.1,1.22,1681.6701206799996,0.010951403148528405
TOI-4515 b,11.938,2024,Gas Giant,Transit,0.118,0.46,2.005,1.086,631.1085984399999,0.04188911704312115
LHS 1678 d,12.6,2024,Terrestrial,Transit,0.04,0.04,0.002853996224040277,0.08758928571428572,64.83394199199999,0.013689253935660506
Teegarden’s Star d,15.13,2024,Terrestrial,Radial Velocity,0.0791,0.07,0.002580239144115796,0.08517857142857144,12.494318816799998,0.07145790554414785
TOI-1199 b,11.093,2024,Gas Giant,Transit,0.04988,0.03,0.239,0.938,810.2595661199999,0.010130047912388775
TOI-1273 b,10.98,2024,Gas Giant,Transit,0.0549,0.06,0.222,0.99,577.6809840799999,0.012594113620807664
TOI-1347 b,11.168,2024,Super Earth,Transit,0.0171,0.0,0.034927627438640654,0.16071428571428573,481.00182256,0.002190280629705681
TOI-1347 c,11.168,2024,Super Earth,Transit,0.0546,0.0,0.020138451856513532,0.14285714285714288,481.00182256,0.013141683778234086
TOI-1135 b,9.54,2024,Gas Giant,Transit,0.082337,0.0,0.162,0.832,371.97439488,0.02190280629705681
TOI-904 b,12.588,2023,Neptune-like,Transit,0.056,0.07689300021083703,0.020327249842668343,0.216,150.322364996,0.029842573579739906
TOI-904 c,12.588,2023,Neptune-like,Transit,0.312,0.07689300021083703,0.016803020767778475,0.19348214285714285,150.322364996,0.2299794661190965
TOI-1386 b,10.61,2024,Gas Giant,Transit,0.173,0.0,0.1441,0.555,478.98617848,0.07063655030800822
TOI-1386 c,10.61,2024,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.23661,0.5114834271703597,478.98617848,1.7022587894645302
Kepler-139 d,12.775,2023,Super Earth,Transit,0.075553,0.0,0.01465726872246696,0.15133928571428573,1275.39389928,0.01998631074606434
Kepler-48 f,13.174,2023,Gas Giant,Radial Velocity,5.719188,0.02,0.93944,1.23,1000.44439128,14.3
Kepler-100 e,11.055,2023,Neptune-like,Radial Velocity,0.312392,0.03,0.07596828193832598,0.47,993.6179461999999,0.16673511293634496
Kepler-139 e,12.775,2023,Gas Giant,Radial Velocity,3.235796,0.01,1.34071,1.22,1275.39389928,5.6
HD 134606 b,6.86,2024,Neptune-like,Radial Velocity,0.1046,0.09,0.028602894902454372,0.265,87.380127804,0.033127994524298425
HD 134606 f,6.86,2024,Neptune-like,Radial Velocity,0.1784,0.08,0.017715544367526745,0.20000000000000004,87.380127804,0.07364818617385352
HD 134606 c,6.86,2024,Neptune-like,Radial Velocity,0.3007,0.06,0.03558842039018251,0.301,87.380127804,0.16125941136208077
HD 134606 d,6.86,2024,Neptune-like,Transit,15.25358028598593,0.07689300021083703,0.14096,0.5114834271703597,87.380127804,1.7022587894645302
HD 134606 e,6.86,2024,Super Earth,Radial Velocity,0.0527,0.2,0.007363121460037759,0.11875000000000001,87.380127804,0.011772758384668035
TOI-238 b,10.748,2024,Super Earth,Transit,0.0212,0.18,0.010698552548772812,0.14392857142857143,262.688325492,0.003559206023271732
TOI-1751 b,9.327,2024,Super Earth,Transit,0.215,0.33,0.06135934550031466,0.2634821428571429,369.64890259999993,0.1026694045174538
TOI-238 c,10.748,2024,Neptune-like,Radial Velocity,0.0749,0.36,0.021082441787287604,0.19464285714285717,262.688325492,0.02327173169062286
Wolf 327 b,13.018,2024,Super Earth,Transit,0.01,0.0,0.007960981749528005,0.11071428571428572,93.059156076,0.0016427104722792608
TOI-2266 b,16.54,2024,Super Earth,Transit,0.02,0.07689300021083703,0.009408432976714915,0.1375,168.297800624,0.006297056810403832
KMT-2018-BLG-0885L b,12.60683284365942,2023,Gas Giant,Microlensing,1.07,0.07689300021083703,29.0,1.06,22472.1484,2.1
KMT-2019-BLG-0297L b,12.60683284365942,2023,Gas Giant,Microlensing,0.96,0.07689300021083703,19.0,1.08,10078.2204,2.1
KMT-2019-BLG-0335L b,12.60683284365942,2023,Gas Giant,Microlensing,1.64,0.07689300021083703,21.0,1.08,25146.6276,3.7
OGLE-2019-BLG-1180L b,12.60683284365942,2023,Gas Giant,Microlensing,5.19,0.07689300021083703,1.747,1.2,19797.6692,16.0
HD 63433 d,6.92035,2023,Super Earth,Transit,0.0503,0.16,0.0039332913782252985,0.09580357142857143,73.07035946,0.011498973305954827
KMT-2021-BLG-1770L b,12.60683284365942,2023,Gas Giant,Microlensing,0.9,0.07689300021083703,21.0,1.08,22569.995199999998,2.4
TOI-2416 b,13.019,2023,Gas Giant,Transit,0.0831,0.32,3.0,0.88,1819.0796434799997,0.02272416153319644
TOI-2524 b,12.8,2023,Gas Giant,Transit,0.073,0.0,0.64,1.0,1431.3095135199999,0.01971252566735113
LHS 3154 b,17.65,2023,Neptune-like,Radial Velocity,0.02262,0.08,0.04137822529893014,0.329,51.404142535999995,0.010130047912388775
TOI-2373 b,13.251,2023,Gas Giant,Transit,0.112,0.11,9.3,0.93,1659.1099101599998,0.03641341546885695
TOI-4641 b,7.51,2023,Gas Giant,Transit,0.173,0.074,3.87,0.73,281.636032156,0.060506502395619444
